
BAR-BCL2-CASP8 complex	596 841 51283 
ITGAV-ITGB5-CYR61 complex	3491 3685 3693 
DRIP complex	9443 9282 9862 10001 9441 7421 6257 5469 9968 29079 9440 9969 9439 10025 
SIRT1 homotrimer	23411 
MCM complex	4172 4173 4174 4176 4171 4175 
SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)	10815 6616 6844 6804 
TLE2 homodimer complex	7089 
PLC-gamma-2-Syk-LAT-FcR-gamma complex	27040 2209 5336 6850 
TDT-TDIF2-core-histone complex	1791 30836 9555 55506 
ITGA5-ITGB3-COL6A3 complex	3690 3678 1293 
RNF20-RNF40-UbE2E1 complex	9810 7324 56254 
CAND1-CUL1-RBX1 complex	9978 8454 55832 
Exosome	5394 5393 23404 23016 118460 11340 54512 56915 51010 22894 51013 
PAR-6-VE-cadherin complex, endothelial	1003 84552 50855 
NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex	648695 3065 25942 653052 579 4824 7088 7089 7090 7091 79816 
RANBMP-CD39 complex	5902 953 
DGCR8-NCL complex	4691 54487 
Isocitrate dehydrogenase, cytoplasmic	3417 
NDPKA-AMPKalpha1 complex	4830 5562 
N-CoR complex	8841 6907 9611 2874 7464 79718 
Ubiquitin E3 ligase (CUL1, RBX1, SKP1A)	9978 6500 8454 
P-TEFb-BRD4-TRAP220 complex	904 23476 1025 5469 
p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	2099 6714 5295 9564 
ATR-HDAC2-CHD4 complex	651921 1108 3066 
SNF2h-cohesin-NuRD complex	5885 8467 9219 53615 648695 1107 9112 3065 8243 5931 10735 10274 3066 11177 8932 9126 
SMAD3-SMAD4-cJUN complex	3725 4088 4089 
CSA complex	9318 9978 2873 1161 8451 652672 10980 10987 10920 51138 8533 64708 50813 
ITGAV-ITGB5-ICAM4 complex	3685 3693 3386 
EXO1-MLH1-PMS2 complex	4292 5395 9156 
Retrotranslocation complex	50628 84447 79139 
ASF1-histone containing complex	11200 4678 648779 8968 8208 55723 25842 
MSH2-MSH6 complex	4436 2956 
N-CoR-2 complex	8841 9611 8819 3065 3066 25942 9612 
P-TEFb-SKP2 complex	904 1025 6502 
PBAF complex (Polybromo- and BAF containing complex)	6597 6598 196528 55193 6601 6599 6605 6602 51412 86 60 71 
SMRT complex	8841 6907 2874 79718 9612 
PA700	5717 5718 5715 10213 5709 5716 5702 5701 652826 5714 5713 5710 5700 5705 5706 5708 9861 5711 5707 5719 
BRM-SIN3A complex	8289 10419 86 6595 648695 6598 3065 6604 6601 3066 6599 6603 6605 6602 25942 
LINGO-1-Nogo-66-p75 signaling complex	4804 84894 65078 
Prefoldin complex	10471 5201 7411 5204 5203 5202 
Scrib-beta-PIX-GIT1 complex	8874 23513 28964 
CD147-gamma-secretase complex (APH-1a,PS-1,PEN-2,NCT variant)	682 5663 23385 51107 55851 
PCNA homotrimer	5111 
TLE-Histone H3 complex	8968 730740 731820 7088 7089 7090 7091 
Class C Vps complex (VPS11, VPS18, STX7)	8417 55823 57617 
TSC1-TSC2 complex	7249 7248 
ETS2-ETS1 complex	2113 2114 
CDK8-CyclinC-Mediator complex	892 1024 
NRD complex (Nucleosome remodeling and deacetylation complex)	23028 648695 1107 9112 3065 1108 3066 
26S proteasome	5688 5702 5689 5682 5683 5684 5685 5686 5692 5694 5693 5701 652826 5691 5690 5710 5687 5700 5705 5706 5695 5719 
ITGA9-ITGB1-ADAM1 complex	3688 3680 280668 
Anti-Sm protein complex	10419 8487 6628 1207 50628 6607 11218 
ARF-Mule complex	440577 10075 1029 
Decapping complex	1656 23644 167227 80153 55802 
BLM complex III	4292 641 7156 80010 
Prolyl 4-hydroxylase (alpha(I)-type)	5034 5033 
HNF4A-SUB1 complex	3172 730602 
CRM1-Survivin-AuroraB mitotic complex	7514 332 9212 
Class C Vps complex (VPS11, VPS18, VPS16)	64601 55823 57617 
N-CoR-1 complex	8841 9611 6597 6598 10155 23450 10291 10847 6601 6599 
UTM-SGCE-DAG1-CAV1-NOS3 complex	8910 4846 7402 857 1605 
ITGAV-ITGB5 complex	3685 3693 
ITGA6-ITGB4 complex	3691 3655 
TIMM17-TIMM23 compex	10431 10440 
BRCA1-BARD1-POLR2A complex	5430 672 580 
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	9978 6500 6502 8454 
ITGA4-ITGB1-JAM2 complex	3688 3676 58494 
TLE1-TLE2 complex	7088 7089 
INO80 chromatin remodeling complex	86 6929 54891 4798 125476 283899 10445 83444 93973 79913 54617 10856 8607 
Ubiquitin E3 ligase (TRIM25, DDX58)	23586 7706 
TRRAP-BAF53-HAT complex	86 8295 
MutS-alpha-PK-zeta complex	4436 2956 5590 
?ITGA4-ITGB1 complex	3688 3676 
Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)	649647 6923 8065 140459 9616 
WRN-TRF2 complex	7486 7014 
GCN5-TRRAP histone acetyltransferase complex	8464 10474 27097 672 4436 2956 6881 6880 2648 8295 
BRD4-RFC complex	23476 5984 5982 5981 5985 5983 
CF IIAm complex (Cleavage factor IIAm complex)	11051 8449 51585 2071 6421 11338 5725 4361 7307 7082 4076 11052 79869 2968 10978 51692 
SNARE complex (STX4, SNAP23, VAMP2)	8773 6844 6810 
Set1B complex	11091 5929 730735 219771 9070 23067 
OCT1-OBF1-DNA-TLE1 complex	5451 7088 5450 
Sam68-p120GAP complex	5921 10657 
BIRC5-AURKB-INCENP-EVI5 complex	332 7813 9212 3619 
